datamodelKey,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
JustFilmiMenu,just-filmi-menu,/just-filmi-menus,just_filmi_menus,JustFilmi_Menu,/api/just-filmi-menus,just_filmi_menus,just-filmi-menu,just-filmi-menus,JustFilmiMenu
JustSupporter,supporters-just,/supporters-justs,supporters_justs,Just_Supporter,/api/supporters-justs,supporters_justs,supporters-just,supporters-justs,JustSupporter
KinoffiArticle,kinoffi-article,/kinoffi-articles,kinoffi_articles,Kinoffi_Article,/api/kinoffi-articles,kinoffi_articles,kinoffi-article,kinoffi-articles,KinoffiArticle
KinoffiFooter,kinoffi-footer,/kinoffi-footers,kinoffi_footers,Kinoffi_Footer,/api/kinoffi-footers,kinoffi_footers,kinoffi-footer,kinoffi-footers,KinoffiFooter
KinoffiMenu,kinoffi-menu,/kinoffi-menus,kinoffi_menus,Kinoffi_Menu,/api/kinoffi-menus,kinoffi_menus,kinoffi-menu,kinoffi-menus,KinoffiMenu
KinoffiSupporter,kinoffi-supporter,/kinoffi-supporters,kinoffi_supporters,Kinoffi_Supporter,/api/kinoffi-supporters,kinoffi_supporters,kinoffi-supporter,kinoffi-supporters,KinoffiSupporter
KumuArticle,kumu-article,/kumu-articles,kumu_articles,Kumu_Article,/api/kumu-articles,kumu_articles,kumu-article,kumu-articles,KumuArticle
KumuFooter,kumu-footer,/kumu-footers,kumu_footers,Kumu_Footer,/api/kumu-footers,kumu_footers,kumu-footer,kumu-footers,KumuFooter
KumuMenu,kumu-menu,/kumu-menus,kumu_menus,Kumu_Menu,/api/kumu-menus,kumu_menus,kumu-menu,kumu-menus,KumuMenu
KumuSupporter,kumu-supporter,/kumu-supporters,kumu_supporters,Kumu_Supporter,/api/kumu-supporters,kumu_supporters,kumu-supporter,kumu-supporters,KumuSupporter
L1MenuIndustry,l1-menu-industry,/l-1-menu-industries,l1_menu_industries,L1MenuIndustry,/api/l1-menu-industries,l1_menu_industries,l1-menu-industry,l1-menu-industries,L1MenuIndustry
L1MenuKumu,l1-menu-kumu,/l-1-menu-kumus,l1_menu_kumus,L1MenuKumu,/api/l1-menu-kumus,l1_menu_kumus,l1-menu-kumu,l1-menu-kumus,L1MenuKumu
LabelGroup,label-group,/label-groups,label_groups,LabelGroup,/api/label-groups,label_groups,label-group,label-groups,LabelGroup
Language,language,/languages,languages,Language,/api/languages,languages,language,languages,Language
Location,location,/locations,locations,Location,/api/locations,locations,location,locations,Location
Municipality,populated-place,/populated-places,populated_places,Municipality,/api/populated-places,populated_places,populated-place,populated-places,Municipality
Organisation,organisation,/organisations,organisations,Organisation,/api/organisations,organisations,organisation,organisations,Organisation
Origin,origin,/origins,origins,Origin,/api/origins,origins,origin,origins,Origin
POFFiArticle,pof-fi-article,/pof-fi-articles,pof_fi_articles,POFFi_Article,/api/pof-fi-articles,pof_fi_articles,pof-fi-article,pof-fi-articles,POFFiArticle
POFFiFooter,pof-fi-footer,/pof-fi-footers,pof_fi_footers,POFFi_Footer,/api/pof-fi-footers,pof_fi_footers,pof-fi-footer,pof-fi-footers,POFFiFooter
POFFiMenu,pof-fi-menu,/pof-fi-menus,pof_fi_menus,POFFi_Menu,/api/pof-fi-menus,pof_fi_menus,pof-fi-menu,pof-fi-menus,POFFiMenu
