datamodelKey,kind,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
Address,collectionType,address,/addresses,addresses,address,/api/addresses,addresses,address,addresses,Address
ArticleType,collectionType,article-type,/article-types,article_types,ArticleType,/api/article-types,article_types,article-type,article-types,ArticleType
Award,collectionType,industry-award,/industry-awards,industry_awards,Award,/api/industry-awards,industry_awards,industry-award,industry-awards,Award
Awarding,collectionType,awarding,/awardings,awardings,Awarding,/api/awardings,awardings,awarding,awardings,Awarding
BannerGroup,collectionType,banner,/banners,banners,BannerGroup,/api/banners,banners,banner,banners,BannerGroup
BrunoArticle,collectionType,bruno-article,/bruno-articles,bruno_articles,Bruno_Article,/api/bruno-articles,bruno_articles,bruno-article,bruno-articles,BrunoArticle
BrunoFooter,collectionType,bruno-footer,/bruno-footers,bruno_footers,Bruno_Footer,/api/bruno-footers,bruno_footers,bruno-footer,bruno-footers,BrunoFooter
BrunoMenu,collectionType,bruno-menu,/bruno-menus,bruno_menus,Bruno_Menu,/api/bruno-menus,bruno_menus,bruno-menu,bruno-menus,BrunoMenu
BrunoSupporter,collectionType,bruno-supporter,/bruno-supporters,bruno_supporters,Bruno_Supporter,/api/bruno-supporters,bruno_supporters,bruno-supporter,bruno-supporters,BrunoSupporter
BusinessProfile,collectionType,business-profile,/business-profiles,business_profiles,BusinessProfile,/api/business-profiles,business_profiles,business-profile,business-profiles,BusinessProfile
Cassette,collectionType,cassette,/cassettes,cassettes,Cassette,/api/cassettes,cassettes,cassette,cassettes,Cassette
Channel,collectionType,channel,/channels,channels,Channel,/api/channels,channels,channel,channels,Channel
Cinema,collectionType,cinema,/cinemas,cinemas,Cinema,/api/cinemas,cinemas,cinema,cinemas,Cinema
Country,collectionType,country,/countries,countries,Country,/api/countries,countries,country,countries,Country
County,collectionType,county,/counties,counties,County,/api/counties,counties,county,counties,County
Course,collectionType,course,/courses,courses,Course,/api/courses,courses,course,courses,Course
CourseEvent,collectionType,course-event,/course-events,course_events,CourseEvent,/api/course-events,course_events,course-event,course-events,CourseEvent
Delivery,collectionType,delivery,/deliveries,deliveries,Delivery,/api/deliveries,deliveries,delivery,deliveries,Delivery
DeliveryType,collectionType,delivery-type,/delivery-types,delivery_types,DeliveryType,/api/delivery-types,delivery_types,delivery-type,delivery-types,DeliveryType
DisCampArticle,collectionType,dis-camp-article,/dis-camp-articles,dis_camp_articles,DisCampArticle,/api/dis-camp-articles,dis_camp_articles,dis-camp-article,dis-camp-articles,DisCampArticle
DisCampCategory,collectionType,dis-camp-category,/dis-camp-categories,dis_camp_categories,DisCampCategory,/api/dis-camp-categories,dis_camp_categories,dis-camp-category,dis-camp-categories,DisCampCategory
DisCampEvent,collectionType,dis-camp-event,/dis-camp-events,dis_camp_events,DisCampEvent,/api/dis-camp-events,dis_camp_events,dis-camp-event,dis-camp-events,DisCampEvent
DisCampFooter,collectionType,dis-camp-footer,/dis-camp-footers,dis_camp_footers,DisCampFooter,/api/dis-camp-footers,dis_camp_footers,dis-camp-footer,dis-camp-footers,DisCampFooter
DisCampGroup,collectionType,dis-camp-group,/dis-camp-groups,dis_camp_groups,DisCampGroup,/api/dis-camp-groups,dis_camp_groups,dis-camp-group,dis-camp-groups,DisCampGroup
DisCampMenu,collectionType,dis-camp-menu,/dis-camp-menus,dis_camp_menus,DisCampMenu,/api/dis-camp-menus,dis_camp_menus,dis-camp-menu,dis-camp-menus,DisCampMenu
DisCampPerson,collectionType,dis-camp-person,/dis-camp-people,dis_camp_people,DisCampPerson,/api/dis-camp-persons,dis_camp_people,dis-camp-person,dis-camp-persons,DisCampPerson
DisCampPersonType,collectionType,dis-camp-person-type,/dis-camp-person-types,dis_camp_person_types,DisCampPersonType,/api/dis-camp-person-types,dis_camp_person_types,dis-camp-person-type,dis-camp-person-types,DisCampPersonType
