datamodelKey,kind,s3.folderName,s3.fileName,s3.collectionName,s3.displayName,s4.folderName,s4.fileName,s4.collectionName,s4.displayName
TrioItemKumu,component,article,trio-item-kumu,components_artcl_trtm_kumu,TrioItemKumu,article,trio-item-kumu,components_artcl_trtm_kumu,TrioItemKumu
TrioItemPoff,component,article,trio-lang-item,components_article_trio_lang_items,TrioItemPoff,article,trio-lang-item,components_article_trio_lang_items,TrioItemPoff
TrioItemShorts,component,article,trio-item-shorts,components_artcl_trtm_shorts,TrioItemShorts,article,trio-item-shorts,components_artcl_trtm_shorts,TrioItemShorts
TrioItemTartuff,component,article,trio-item-tartuff,components_artcl_trtm_tartuffs,TrioItemTartuff,article,trio-item-tartuff,components_artcl_trtm_tartuffs,TrioItemTartuff
Triobruno,component,article,trio-bruno,components_article_trio_bruno,Triobruno,article,trio-bruno,components_article_trio_bruno,Triobruno
Triodiscamp,component,article,triodiscamp,components_article_triodiscamps,Triodiscamp,article,triodiscamp,components_article_triodiscamps,Triodiscamp
Triofilmikool,component,article,triofilmikool,components_article_triofilmikools,Triofilmikool,article,triofilmikool,components_article_triofilmikools,Triofilmikool
Trioindustry,component,article,trioindustry,components_article_trio_industry,Trioindustry,article,trioindustry,components_article_trio_industry,Trioindustry
Triojustfilm,component,article,trio-just-film,components_article_trio_just_films,Triojustfilm,article,trio-just-film,components_article_trio_just_films,Triojustfilm
Triokinoff,component,article,triokinoff,components_article_trio_kinoff,Triokinoff,article,triokinoff,components_article_trio_kinoff,Triokinoff
Triokumu,component,article,trio-kumu,components_article_trio_kumu,Triokumu,article,trio-kumu,components_article_trio_kumu,Triokumu
Triopoff,component,article,trio-poff-et,components_article_trio_poff_ets,Triopoff,article,trio-poff-et,components_article_trio_poff_ets,Triopoff
Trioshorts,component,article,trio-shorts,components_article_trio_shorts,Trioshorts,article,trio-shorts,components_article_trio_shorts,Trioshorts
Triotartuff,component,article,trio-tartuff,components_article_trio_tartuffs,Triotartuff,article,trio-tartuff,components_article_trio_tartuffs,Triotartuff
UserRight,component,user,user-right,components_user_user_rights,UserRight,user,user-right,components_user_user_rights,UserRight
credentials,component,film,credentials-new,components_film_credentials_news,credentials,film,credentials-new,components_film_credentials_news,credentials
externalProviders,component,user,external-providers,components_user_external_providers,externalProviders,user,external-providers,components_user_external_providers,externalProviders
filmInFilmography,component,film,film-in-filmography,components_film_film_in_filmographies,filmInFilmography,film,film-in-filmography,components_film_film_in_filmographies,filmInFilmography
filmography,component,film,filmography,components_film_filmographies,filmography,film,filmography,components_film_filmographies,filmography
footerItemNav,component,footer,footer-item-nav,components_footer_footer_item_navs,footerItemNav,footer,footer-item-nav,components_footer_footer_item_navs,footerItemNav
hoffiSubMenuItem,component,menu,hoffi-sub-menu-item,components_menu_hoffi_items,hoffiSubMenuItem,menu,hoffi-sub-menu-item,components_menu_hoffi_items,hoffiSubMenuItem
imgs,component,media,imgs,components_media_imgs,imgs,media,imgs,components_media_imgs,imgs
importedToStrapi,component,user,imported-to-strapi,components_user_imported_to_strapis,importedToStrapi,user,imported-to-strapi,components_user_imported_to_strapis,importedToStrapi
juryMember,component,teams,jury-member,components_teams_jury_members,juryMember,teams,jury-member,components_teams_jury_members,juryMember
label,component,label,label,components_label_labels,label,label,label,components_label_labels,label
loginEvent,component,user,last10-logins,components_user_last10_logins,loginEvent,user,last10-logins,components_user_last10_logins,loginEvent
my,component,user,my,components_user_mies,my,user,my,components_user_mies,my
orderedCountries,component,film,ordered-countries,components_film_ordered_countries,orderedCountries,film,ordered-countries,components_film_ordered_countries,orderedCountries
orderedFilms,component,film,ordered-films,components_film_ordered_films,orderedFilms,film,ordered-films,components_film_ordered_films,orderedFilms
orderedProduct,component,ticketing,ordered-products,components_ticketing_ordered_products,orderedProduct,ticketing,ordered-products,components_ticketing_ordered_products,orderedProduct
period,component,time,period,components_time_periods,period,time,period,components_time_periods,period
poffiSubMenuItem,component,menu,menu-item,components_menu_menu_items,poffiSubMenuItem,menu,menu-item,components_menu_menu_items,poffiSubMenuItem
presentedBy,component,film,presented-by,components_film_presented_bies,presentedBy,film,presented-by,components_film_presented_bies,presentedBy
priceAtPeriod,component,ticketing,price-with-time,components_ticketing_price_with_times,priceAtPeriod,ticketing,price-with-time,components_ticketing_price_with_times,priceAtPeriod
prodCatList,component,ticketing,prod-cat-list,components_ticketing_prod_cat_lists,prodCatList,ticketing,prod-cat-list,components_ticketing_prod_cat_lists,prodCatList
roleCompany,component,film,role-company,components_film_role_companies,roleCompany,film,role-company,components_film_role_companies,roleCompany
rolePerson,component,film,role-person,components_film_role_people,rolePerson,film,role-person,components_film_role_people,rolePerson
subTeam,component,teams,test-team,components_teams_test_teams,subTeam,teams,test-team,components_teams_test_teams,subTeam
supJust,component,footer,sup-just,components_footer_sup_justs,supJust,footer,sup-just,components_footer_sup_justs,supJust
supKinoff,component,footer,sup-kinoff,components_footer_sup_kinoffs,supKinoff,footer,sup-kinoff,components_footer_sup_kinoffs,supKinoff
supPoff,component,footer,sup-poff,components_footer_sup_poffs,supPoff,footer,sup-poff,components_footer_sup_poffs,supPoff
supSecJust,component,footer,sup-sec-just,components_footer_sup_sec_justs,supSecJust,footer,sup-sec-just,components_footer_sup_sec_justs,supSecJust
supSecPoff,component,footer,sup-sec-poff,components_footer_sup_sec_poffs,supSecPoff,footer,sup-sec-poff,components_footer_sup_sec_poffs,supSecPoff
supSecShorts,component,footer,sup-sec-shorts,components_footer_sup_sec_shorts,supSecShorts,footer,sup-sec-shorts,components_footer_sup_sec_shorts,supSecShorts
supShorts,component,footer,sup-shorts,components_footer_sup_shorts,supShorts,footer,sup-shorts,components_footer_sup_shorts,supShorts
teamMember,component,teams,team-member,components_teams_team_members,teamMember,teams,team-member,components_teams_team_members,teamMember
ticketingRight,component,ticketing,ticketing-rights,components_ticketing_ticketing_rights,ticketingRight,ticketing,ticketing-rights,components_ticketing_ticketing_rights,ticketingRight
